wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,17:25:16,78,1.64,3,41
1,17:25:17,78,1.64,3,41
2,17:25:18,78,1.75,3,41
3,17:25:19,78,1.75,4,41
4,17:25:20,78,1.75,6,42
5,17:25:21,78,1.75,3,43
6,17:25:22,80,1.75,4,42
7,17:25:23,80,1.85,4,42
8,17:25:24,80,1.85,5,42
9,17:25:25,81,1.85,5,42
10,17:25:26,81,1.85,4,42
11,17:25:27,82,1.85,4,42
12,17:25:28,82,1.87,3,42
13,17:25:29,81,1.87,8,42
14,17:25:30,81,1.87,8,42
15,17:25:31,81,1.87,14,42
16,17:25:32,81,1.80,9,42
17,17:25:33,82,1.80,8,43
18,17:25:34,82,1.80,9,42
19,17:25:35,82,1.80,8,43
21,17:25:37,82,1.80,12,43
22,17:25:38,82,2.13,18,44
23,17:25:39,82,2.13,18,43
24,17:25:40,82,2.13,18,44
25,17:25:41,82,2.13,12,43
26,17:25:42,83,2.13,9,43
27,17:25:43,82,2.28,8,43
28,17:25:44,82,2.28,12,43
29,17:25:45,82,2.28,9,42
30,17:25:46,82,2.28,5,42
31,17:25:47,82,2.28,10,42
32,17:25:48,82,2.18,8,42
33,17:25:49,82,2.18,12,42
34,17:25:50,82,2.18,8,42
35,17:25:51,82,2.18,8,42
36,17:25:52,82,2.18,8,43
37,17:25:53,82,3.85,8,44
38,17:25:54,82,3.85,8,42
39,17:25:55,82,3.85,8,42
40,17:25:56,82,3.85,8,42
41,17:25:57,82,3.85,8,42
42,17:25:58,82,4.34,8,43
43,17:25:59,82,4.34,8,42
44,17:26:00,82,4.34,6,42
45,17:26:01,82,4.34,8,43
46,17:26:02,82,4.71,8,45
47,17:26:03,82,4.71,8,42
49,17:26:05,82,4.71,10,42
50,17:26:06,83,4.71,7,43
51,17:26:07,83,4.71,8,43
52,17:26:08,83,5.06,11,42
53,17:26:09,83,5.06,8,42
54,17:26:10,83,5.06,10,42
55,17:26:11,84,5.06,11,42
56,17:26:12,84,5.06,9,43
57,17:26:13,84,4.97,22,44
58,17:26:14,84,4.97,12,43
59,17:26:15,84,4.97,8,43
60,17:26:16,83,4.97,8,42
61,17:26:17,83,4.97,9,43
62,17:26:18,83,5.13,13,42
63,17:26:19,83,5.13,7,43
64,17:26:20,83,5.13,16,43
65,17:26:21,83,5.13,7,42
66,17:26:22,84,5.13,19,44
67,17:26:23,84,5.76,24,44
68,17:26:24,84,5.76,19,44
69,17:26:25,84,5.76,19,44
70,17:26:26,84,5.76,19,46
71,17:26:27,84,5.76,19,44
72,17:26:28,84,7.47,19,44
73,17:26:29,84,7.47,19,44
