wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,16:47:22,66,3.20,15,46
1,16:47:23,65,3.20,15,46
2,16:47:24,64,3.20,15,46
3,16:47:25,65,2.94,15,46
4,16:47:26,70,2.94,15,46
5,16:47:27,73,2.94,3,47
6,16:47:28,78,2.94,15,47
7,16:47:29,79,2.94,15,47
8,16:47:30,79,2.95,15,47
9,16:47:31,80,2.95,17,47
10,16:47:32,80,2.95,14,47
11,16:47:33,82,2.95,14,47
13,16:47:35,80,2.95,15,47
14,16:47:36,80,2.95,20,48
15,16:47:37,79,2.95,26,47
16,16:47:38,79,2.95,20,48
17,16:47:39,79,2.95,20,48
18,16:47:40,79,2.96,25,47
19,16:47:41,79,2.96,21,47
20,16:47:42,81,2.96,20,48
21,16:47:43,80,2.96,20,48
22,16:47:44,79,2.96,25,47
23,16:47:45,78,2.96,20,47
24,16:47:46,78,2.96,20,48
25,16:47:47,78,2.96,20,48
26,16:47:48,78,2.96,20,48
27,16:47:49,78,2.96,19,47
28,16:47:50,79,2.80,19,48
29,16:47:51,80,2.80,20,48
30,16:47:52,82,2.80,20,47
31,16:47:53,81,2.80,21,48
32,16:47:54,81,2.80,20,47
33,16:47:55,80,2.66,17,47
34,16:47:56,81,2.66,21,47
35,16:47:57,80,2.66,21,47
36,16:47:58,80,2.66,20,48
37,16:47:59,80,2.66,15,47
38,16:48:00,80,2.77,21,47
39,16:48:01,80,2.77,20,48
40,16:48:02,80,2.77,20,47
41,16:48:03,80,2.77,21,47
42,16:48:04,80,2.77,20,47
43,16:48:05,80,3.35,20,47
45,16:48:07,81,3.35,20,48
46,16:48:08,80,3.35,20,48
47,16:48:09,80,3.35,19,47
48,16:48:10,80,3.35,18,47
49,16:48:11,80,3.16,21,47
50,16:48:12,80,3.16,20,48
51,16:48:13,80,3.16,16,47
52,16:48:14,80,3.16,16,47
53,16:48:15,80,3.07,20,48
54,16:48:16,80,3.07,19,48
55,16:48:17,80,3.07,20,48
56,16:48:18,80,3.07,20,48
57,16:48:19,81,3.07,20,47
58,16:48:20,81,3.46,20,48
59,16:48:21,81,3.46,20,48
60,16:48:22,81,3.46,21,48
61,16:48:23,85,3.46,21,49
62,16:48:24,84,3.46,20,49
63,16:48:25,83,3.66,20,49
64,16:48:26,82,3.66,20,48
65,16:48:27,82,3.66,20,48
66,16:48:28,81,3.66,21,48
67,16:48:29,81,3.66,20,48
68,16:48:30,81,3.53,20,48
69,16:48:31,81,3.53,19,48
70,16:48:32,80,3.53,20,49
71,16:48:33,81,3.53,20,50
72,16:48:34,80,3.53,20,48
73,16:48:35,81,3.57,21,49
74,16:48:36,80,3.57,21,48
76,16:48:38,80,3.57,21,48
77,16:48:39,81,3.57,20,48
78,16:48:40,80,3.57,20,48
79,16:48:41,80,3.36,21,48
80,16:48:42,80,3.36,17,48
81,16:48:43,80,3.36,21,48
82,16:48:44,80,3.36,21,49
83,16:48:45,79,3.17,21,48
84,16:48:46,79,3.17,21,48
85,16:48:47,80,3.17,20,49
86,16:48:48,80,3.17,21,48
87,16:48:49,80,3.17,20,48
88,16:48:50,80,3.56,20,48
89,16:48:51,80,3.56,19,48
90,16:48:52,81,3.56,20,48
91,16:48:53,81,3.56,20,48
92,16:48:54,80,3.56,15,48
93,16:48:55,80,4.56,21,49
94,16:48:56,81,4.56,21,51
95,16:48:57,80,4.56,21,48
96,16:48:58,80,4.56,21,48
97,16:48:59,80,4.56,21,49
98,16:49:00,80,4.35,20,48
99,16:49:01,80,4.35,20,48
100,16:49:02,80,4.35,20,48
101,16:49:03,81,4.35,15,48
102,16:49:04,81,4.35,21,48
103,16:49:05,81,4.08,21,48
104,16:49:06,81,4.08,21,48
105,16:49:07,81,4.08,16,48
106,16:49:08,81,4.08,16,48
108,16:49:10,81,4.08,21,49
109,16:49:11,80,4.64,21,48
110,16:49:12,80,4.64,20,49
111,16:49:13,80,4.64,21,48
112,16:49:14,80,4.64,21,48
113,16:49:15,80,4.43,21,48
114,16:49:16,81,4.43,21,48
115,16:49:17,81,4.43,21,48
116,16:49:18,81,4.43,16,48
117,16:49:19,81,4.43,20,48
118,16:49:20,81,4.31,20,48
119,16:49:21,81,4.31,20,48
120,16:49:22,81,4.31,20,48
121,16:49:23,81,4.31,15,48
122,16:49:24,81,4.31,15,48
123,16:49:25,81,6.45,20,48
124,16:49:26,81,6.45,20,48
125,16:49:27,81,6.45,20,48
126,16:49:28,81,6.45,20,48
127,16:49:29,81,6.45,20,50
128,16:49:30,81,6.25,21,50
129,16:49:31,81,6.25,20,50
130,16:49:32,81,6.25,20,49
131,16:49:33,81,6.25,21,48
132,16:49:34,81,6.25,20,49
133,16:49:35,81,6.55,21,49
134,16:49:36,81,6.55,21,49
135,16:49:37,81,6.55,21,49
136,16:49:38,81,6.55,16,48
137,16:49:39,81,6.55,17,48
139,16:49:41,81,6.11,19,48
140,16:49:42,81,6.11,16,48
141,16:49:43,81,6.11,22,48
142,16:49:44,81,6.11,16,48
143,16:49:45,81,6.11,21,48
144,16:49:46,81,6.02,16,48
145,16:49:47,81,6.02,16,48
146,16:49:48,81,6.02,19,48
147,16:49:49,80,6.02,15,48
148,16:49:50,80,5.70,20,49
