wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,16:44:48,66,1.06,17,45
1,16:44:49,65,1.06,15,45
2,16:44:50,64,1.06,15,45
3,16:44:51,66,1.06,16,45
4,16:44:52,71,1.06,16,45
5,16:44:53,74,1.06,3,45
6,16:44:54,78,1.06,4,46
7,16:44:55,79,1.05,14,45
8,16:44:56,79,1.05,3,45
9,16:44:57,79,1.05,4,44
10,16:44:58,79,1.05,5,44
11,16:44:59,81,1.05,4,44
12,16:45:00,79,1.13,24,45
13,16:45:01,79,1.13,8,45
14,16:45:02,78,1.13,9,45
15,16:45:03,78,1.13,9,45
17,16:45:05,77,1.13,8,45
18,16:45:06,77,2.00,10,45
19,16:45:07,77,2.00,7,45
20,16:45:08,80,2.00,9,45
21,16:45:09,78,2.00,10,45
22,16:45:10,77,2.16,9,45
23,16:45:11,76,2.16,9,45
24,16:45:12,76,2.16,8,45
25,16:45:13,76,2.16,9,45
26,16:45:14,76,2.16,8,45
27,16:45:15,76,2.07,8,46
28,16:45:16,77,2.07,8,46
29,16:45:17,78,2.07,8,45
30,16:45:18,81,2.07,8,44
31,16:45:19,81,2.07,9,47
32,16:45:20,80,2.78,13,45
33,16:45:21,80,2.78,12,44
34,16:45:22,79,2.78,9,44
35,16:45:23,79,2.78,8,44
36,16:45:24,79,2.78,10,44
37,16:45:25,79,2.72,6,44
38,16:45:26,79,2.72,8,44
39,16:45:27,79,2.72,9,44
40,16:45:28,79,2.72,9,45
41,16:45:29,79,2.72,8,44
42,16:45:30,79,2.98,10,45
43,16:45:31,79,2.98,9,44
44,16:45:32,79,2.98,9,44
45,16:45:33,79,2.98,9,44
46,16:45:34,79,2.98,9,44
47,16:45:35,79,2.82,11,44
48,16:45:37,79,2.82,9,44
50,16:45:38,79,2.82,8,44
51,16:45:39,79,2.82,11,44
52,16:45:40,79,2.82,9,44
53,16:45:41,79,2.84,10,44
54,16:45:42,79,2.84,9,45
55,16:45:43,79,2.84,8,45
56,16:45:44,79,2.84,10,44
57,16:45:45,79,2.69,4,44
58,16:45:46,79,2.69,9,44
59,16:45:47,79,2.69,10,44
60,16:45:48,80,2.69,9,44
61,16:45:49,80,2.69,9,45
62,16:45:50,80,3.36,8,44
63,16:45:51,80,3.36,9,44
64,16:45:52,80,3.36,9,44
65,16:45:53,80,3.36,9,44
66,16:45:54,81,3.36,8,45
67,16:45:55,81,3.17,9,44
68,16:45:56,81,3.17,8,45
69,16:45:57,81,3.17,9,44
70,16:45:58,81,3.17,9,44
71,16:45:59,81,3.17,19,46
72,16:46:00,80,5.40,20,46
73,16:46:01,80,5.40,20,46
74,16:46:02,80,5.40,20,46
75,16:46:03,80,5.40,20,46
76,16:46:04,79,5.40,19,47
77,16:46:05,79,5.12,20,46
78,16:46:06,79,5.12,17,46
79,16:46:07,79,5.12,20,46
81,16:46:09,79,5.12,20,46
82,16:46:10,79,5.12,20,46
83,16:46:11,79,4.87,20,46
84,16:46:12,79,4.87,20,46
85,16:46:13,79,4.87,19,46
86,16:46:14,79,4.87,20,46
87,16:46:15,79,4.64,20,46
88,16:46:16,79,4.64,20,47
89,16:46:17,80,4.64,20,46
90,16:46:18,80,4.64,19,46
91,16:46:19,79,4.64,20,46
92,16:46:20,80,4.67,16,46
93,16:46:21,80,4.67,22,46
94,16:46:22,80,4.67,21,46
95,16:46:23,80,4.67,22,46
96,16:46:24,80,4.67,21,46
97,16:46:25,80,5.34,20,46
98,16:46:26,80,5.34,21,47
99,16:46:27,80,5.34,21,47
100,16:46:28,80,5.34,21,46
101,16:46:29,80,5.34,21,46
102,16:46:30,79,4.99,21,46
103,16:46:31,80,4.99,6,45
