wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,09:56:58,77,1.73,2,41
1,09:56:59,77,1.73,2,41
2,09:57:00,77,1.73,2,42
3,09:57:01,77,1.73,2,41
4,09:57:02,78,1.73,3,43
5,09:57:03,79,2.72,1,44
6,09:57:04,81,2.72,2,43
7,09:57:05,80,2.72,3,43
8,09:57:06,80,2.72,3,43
9,09:57:07,81,3.30,3,43
10,09:57:08,81,3.30,3,43
11,09:57:09,83,3.30,3,43
12,09:57:10,82,3.30,2,43
13,09:57:11,82,3.30,7,43
14,09:57:12,82,3.84,8,44
15,09:57:13,81,3.84,12,43
16,09:57:14,81,3.84,13,43
17,09:57:15,82,3.84,13,43
18,09:57:16,82,3.84,11,43
19,09:57:17,82,3.85,11,43
20,09:57:18,82,3.85,7,44
22,09:57:20,82,3.85,8,44
23,09:57:21,82,3.85,10,44
24,09:57:22,82,3.85,8,44
25,09:57:23,82,3.86,8,44
26,09:57:24,81,3.86,3,43
27,09:57:25,81,3.86,7,44
28,09:57:26,82,3.86,7,44
29,09:57:27,82,3.86,7,44
30,09:57:28,82,3.79,6,43
31,09:57:29,82,3.79,7,43
32,09:57:30,82,3.79,7,43
33,09:57:31,82,3.79,8,43
34,09:57:32,82,3.79,6,43
35,09:57:33,82,3.57,8,43
36,09:57:34,82,3.57,7,43
37,09:57:35,82,3.57,8,44
38,09:57:36,82,3.57,8,44
39,09:57:37,82,3.44,6,43
40,09:57:38,83,3.44,7,43
41,09:57:39,83,3.44,7,43
42,09:57:40,83,3.44,8,43
43,09:57:41,83,3.44,7,43
44,09:57:42,83,3.25,7,43
45,09:57:43,83,3.25,6,43
46,09:57:44,83,3.25,7,43
47,09:57:45,84,3.25,7,43
48,09:57:46,84,3.25,7,43
49,09:57:47,83,3.15,7,43
51,09:57:49,83,3.15,6,43
52,09:57:50,83,3.15,7,43
53,09:57:51,83,3.15,7,43
54,09:57:52,83,3.15,7,43
55,09:57:53,83,3.54,7,43
56,09:57:54,83,3.54,7,43
57,09:57:55,83,3.54,6,43
58,09:57:56,85,3.54,7,44
59,09:57:57,84,3.54,13,43
60,09:57:58,84,3.41,12,43
61,09:57:59,84,3.41,11,43
62,09:58:00,84,3.41,9,43
63,09:58:01,83,3.41,12,43
64,09:58:02,83,3.41,8,43
65,09:58:03,83,3.38,12,43
66,09:58:04,83,3.38,12,43
67,09:58:05,84,3.38,6,43
68,09:58:06,83,3.38,9,44
69,09:58:07,83,3.27,6,43
70,09:58:08,83,3.27,8,44
71,09:58:09,83,3.27,7,44
72,09:58:10,84,3.27,8,44
73,09:58:11,83,3.27,1,43
74,09:58:12,83,3.17,7,47
75,09:58:13,83,3.17,7,43
76,09:58:14,83,3.17,6,43
77,09:58:15,83,3.17,8,43
78,09:58:16,83,3.17,8,43
79,09:58:17,83,3.39,11,43
80,09:58:18,83,3.39,12,43
81,09:58:19,84,3.39,12,43
83,09:58:21,84,3.39,9,43
84,09:58:22,84,3.39,6,43
85,09:58:23,84,4.32,7,43
86,09:58:24,84,4.32,1,43
87,09:58:25,84,4.32,6,44
88,09:58:26,84,4.32,8,44
89,09:58:27,84,4.32,7,43
90,09:58:28,84,4.14,6,44
91,09:58:29,84,4.14,7,44
92,09:58:30,84,4.14,7,44
93,09:58:31,84,4.14,8,44
94,09:58:32,84,4.14,7,43
95,09:58:33,84,4.05,7,43
96,09:58:34,84,4.05,12,43
97,09:58:35,84,4.05,12,43
98,09:58:36,84,4.05,7,44
99,09:58:37,84,3.88,7,47
100,09:58:38,84,3.88,7,44
101,09:58:39,84,3.88,7,43
102,09:58:40,84,3.88,12,43
103,09:58:41,84,3.88,6,44
104,09:58:42,84,3.73,7,44
105,09:58:43,84,3.73,7,44
106,09:58:44,84,3.73,7,45
107,09:58:45,84,3.73,8,45
108,09:58:46,84,3.73,7,43
109,09:58:47,84,3.59,11,43
110,09:58:48,85,3.59,7,44
111,09:58:49,85,3.59,7,44
112,09:58:50,84,3.59,8,44
114,09:58:52,84,3.59,7,45
115,09:58:53,84,3.46,6,47
116,09:58:54,84,3.46,7,43
117,09:58:55,84,3.46,10,44
118,09:58:56,84,3.46,14,44
119,09:58:57,84,3.46,7,44
120,09:58:58,84,3.51,7,44
121,09:58:59,84,3.51,7,44
122,09:59:00,84,3.51,7,43
123,09:59:01,84,3.51,9,44
124,09:59:02,84,3.51,7,44
125,09:59:03,84,3.31,7,44
126,09:59:04,84,3.31,6,44
127,09:59:05,84,3.31,7,44
128,09:59:06,84,3.31,7,44
129,09:59:07,84,3.31,7,45
130,09:59:08,84,3.28,7,46
131,09:59:09,84,3.28,7,44
132,09:59:10,84,3.28,7,44
133,09:59:11,84,3.28,11,44
134,09:59:12,84,5.34,7,43
135,09:59:13,85,5.34,10,44
136,09:59:14,85,5.34,6,44
137,09:59:15,84,5.34,8,45
138,09:59:16,84,5.34,7,44
139,09:59:17,84,5.07,6,44
140,09:59:18,84,5.07,8,44
141,09:59:19,84,5.07,7,44
142,09:59:20,84,5.07,8,44
144,09:59:22,84,5.07,7,44
145,09:59:23,84,6.35,11,44
146,09:59:24,84,6.35,10,44
147,09:59:25,84,6.35,7,44
148,09:59:26,84,6.35,9,44
149,09:59:27,84,6.35,6,46
150,09:59:28,84,6.00,7,44
151,09:59:29,84,6.00,10,44
152,09:59:30,84,6.00,7,44
153,09:59:31,84,6.00,7,44
154,09:59:32,84,6.00,7,44
155,09:59:33,84,6.64,7,44
156,09:59:34,84,6.64,7,44
157,09:59:35,84,6.64,10,44
158,09:59:36,84,6.64,8,44
159,09:59:37,84,6.64,7,44
160,09:59:38,84,6.67,8,44
161,09:59:39,84,6.67,7,44
162,09:59:40,84,6.67,6,44
163,09:59:41,84,6.67,8,44
164,09:59:42,84,6.54,11,44
165,09:59:43,84,6.54,8,44
166,09:59:44,84,6.54,6,44
167,09:59:45,84,6.54,7,44
168,09:59:46,84,6.54,6,44
169,09:59:47,84,8.58,6,44
170,09:59:48,84,8.58,6,44
171,09:59:49,84,8.58,6,44
172,09:59:50,84,8.58,6,44
173,09:59:51,84,8.58,6,45
175,09:59:53,84,7.97,6,44
176,09:59:54,84,7.97,11,44
177,09:59:55,84,7.97,11,44
178,09:59:56,84,7.97,11,44
179,09:59:57,84,7.97,11,44
180,09:59:58,84,8.37,11,44
181,09:59:59,84,8.37,10,44
182,10:00:00,84,8.37,6,44
183,10:00:01,84,8.37,7,44
184,10:00:02,84,8.37,6,44
185,10:00:03,85,7.94,6,45
186,10:00:04,85,7.94,6,44
187,10:00:05,84,7.94,11,44
188,10:00:06,84,7.94,10,44
189,10:00:07,84,7.94,8,44
190,10:00:08,84,7.47,7,44
