wall_s,iso,cpu_c,load1,gpu_util,gpu_c
0,16:49:33,77,3.15,1,40
1,16:49:34,77,3.15,12,41
2,16:49:35,77,3.15,1,40
3,16:49:36,77,3.15,1,40
4,16:49:37,79,3.05,1,41
5,16:49:38,79,3.05,0,42
6,16:49:39,81,3.05,12,43
7,16:49:40,81,3.05,1,42
8,16:49:41,81,3.05,12,42
9,16:49:42,82,3.61,2,41
10,16:49:43,81,3.61,4,41
11,16:49:44,82,3.61,1,41
12,16:49:45,82,3.61,1,41
13,16:49:46,82,3.61,17,42
14,16:49:47,81,3.56,6,42
15,16:49:48,81,3.56,10,42
16,16:49:49,81,3.56,6,42
17,16:49:50,81,3.56,6,42
19,16:49:52,81,3.56,17,43
20,16:49:53,81,3.60,6,42
21,16:49:54,82,3.60,6,44
22,16:49:55,81,3.60,11,42
23,16:49:56,81,3.60,11,42
24,16:49:57,81,3.60,9,42
25,16:49:58,81,3.47,10,42
26,16:49:59,81,3.47,17,43
27,16:50:00,81,3.47,6,43
28,16:50:01,81,3.47,6,43
29,16:50:02,82,3.47,6,45
30,16:50:03,82,3.35,6,42
31,16:50:04,82,3.35,18,43
32,16:50:05,82,3.35,6,44
33,16:50:06,82,3.35,6,42
34,16:50:07,82,3.24,6,42
35,16:50:08,82,3.24,11,42
36,16:50:09,82,3.24,18,43
37,16:50:10,82,3.24,11,42
38,16:50:11,82,3.24,18,43
39,16:50:12,82,3.14,7,42
40,16:50:13,83,3.14,6,42
41,16:50:14,82,3.14,9,42
42,16:50:15,82,3.14,6,42
43,16:50:16,82,3.14,18,43
44,16:50:17,82,3.21,6,42
45,16:50:18,82,3.21,11,42
46,16:50:19,83,3.21,6,42
48,16:50:21,82,3.21,6,42
49,16:50:22,82,3.21,18,43
50,16:50:23,82,3.11,6,42
51,16:50:24,82,3.11,18,43
52,16:50:25,82,3.11,6,42
53,16:50:26,82,3.11,6,42
54,16:50:27,83,3.11,6,43
55,16:50:28,82,3.03,7,42
56,16:50:29,82,3.03,18,43
57,16:50:30,82,3.03,6,42
58,16:50:31,82,3.03,6,43
59,16:50:32,82,3.03,11,42
60,16:50:33,82,3.50,12,42
61,16:50:34,82,3.50,18,42
62,16:50:35,83,3.50,6,42
63,16:50:36,82,3.50,6,43
64,16:50:37,82,3.38,11,42
65,16:50:38,82,3.38,7,42
